"SYMBOL
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 30-Jun-2022","30 D % CHNG 
 31-May-2023"
"NIFTY 50","19,076.85","19,201.70","19,024.60","18,972.10","19,189.05","216.95","1.14","247,906,587","263,764,903,769.26","19,201.70","15,858.20","21.82","3.79"
"M&M","1,402.65","1,461.00","1,400.00","1,395.00","1,456.00","61.00","4.37","4,114,865","5,936,063,100.35","1,461.00","1,064.00","31.27","10.21"
"INFY","1,308.20","1,338.90","1,304.45","1,293.35","1,337.85","44.50","3.44","12,821,692","17,003,230,411.96","1,672.60","1,185.30","-9.73","1.21"
"INDUSINDBK","1,341.90","1,382.25","1,337.05","1,334.05","1,376.50","42.45","3.18","4,590,286","6,277,124,299.28","1,382.25","783.00","70.30","6.55"
"SUNPHARMA","1,021.75","1,055.00","1,020.05","1,021.80","1,051.00","29.20","2.86","4,765,060","4,979,630,651.80","1,072.15","821.90","26.81","6.47"
"HEROMOTOCO","2,839.95","2,920.00","2,835.00","2,828.75","2,905.00","76.25","2.70","962,194","2,785,349,569.26","3,026.00","2,246.00","5.29","3.92"
"TCS","3,220.00","3,310.00","3,214.10","3,215.45","3,298.40","82.95","2.58","2,672,406","8,766,480,470.22","3,575.00","2,926.10","-0.39","-0.65"
"MARUTI","9,569.00","9,853.50","9,541.00","9,540.65","9,779.00","238.35","2.50","845,006","8,239,585,905.52","9,853.50","8,076.05","16.50","4.94"
"BAJAJ-AUTO","4,636.00","4,735.00","4,635.00","4,716.30","4,688.00","111.70","2.44","587,936","2,759,089,578.24","4,829.90","3,461.25","29.44","1.03"
"LT","2,420.00","2,483.50","2,415.05","2,421.45","2,475.00","53.55","2.21","2,690,699","6,601,360,926.60","2,483.50","1,524.10","57.46","12.13"
"TECHM","1,114.65","1,132.50","1,110.60","1,108.10","1,131.10","23.00","2.08","2,478,834","2,790,398,645.46","1,165.00","965.05","11.89","0.90"
"WIPRO","385.00","389.75","383.00","381.70","389.05","7.35","1.93","4,535,405","1,756,562,356.50","444.90","352.00","-7.78","-4.42"
"POWERGRID","256.50","259.70","251.20","250.15","254.00","3.85","1.54","13,244,985","3,373,100,329.95","259.70","186.35","23.56","9.51"
"COALINDIA","227.90","231.35","226.75","227.25","230.70","3.45","1.52","7,850,296","1,803,841,014.88","263.40","176.60","26.06","0.28"
"HDFC","2,810.00","2,830.00","2,784.00","2,779.00","2,820.45","41.45","1.49","6,981,604","19,644,837,335.20","2,867.00","2,133.10","27.66","6.62"
"BAJFINANCE","7,100.00","7,195.00","7,091.20","7,090.20","7,164.30","104.10","1.47","887,908","6,340,844,037.64","7,778.00","5,335.05","27.54","1.71"
"HDFCBANK","1,704.00","1,708.80","1,683.25","1,676.15","1,700.75","24.60","1.47","20,349,508","34,567,505,744.52","1,734.45","1,330.05","25.68","6.07"
"TATAMOTORS","588.35","599.00","588.00","586.65","595.20","8.55","1.46","12,488,047","7,429,638,682.18","599.00","375.20","44.31","11.28"
"HCLTECH","1,170.35","1,194.00","1,165.00","1,170.25","1,184.85","14.60","1.25","3,036,648","3,594,662,436.48","1,194.00","877.35","21.80","4.03"
"ONGC","161.00","161.00","158.95","158.55","160.35","1.80","1.14","7,840,112","1,254,417,920.00","169.00","119.85","22.32","4.33"
"EICHERMOT","3,540.10","3,600.00","3,505.30","3,544.85","3,583.80","38.95","1.10","712,382","2,540,553,678.96","3,889.65","2,745.75","28.65","-3.66"
"UPL","681.00","688.25","681.00","680.35","687.30","6.95","1.02","1,756,332","1,203,684,572.88","807.00","621.95","6.85","1.42"
"RELIANCE","2,546.40","2,556.65","2,533.45","2,529.50","2,553.35","23.85","0.94","5,146,441","13,091,207,829.34","2,755.00","2,180.00","5.88","3.53"
"DRREDDY","5,116.00","5,174.95","5,110.10","5,107.85","5,153.95","46.10","0.90","486,141","2,503,776,853.71","5,174.95","3,997.00","17.64","13.35"
"BHARTIARTL","880.00","883.00","867.05","872.20","880.00","7.80","0.89","5,217,511","4,560,678,540.21","888.75","628.75","30.48","6.14"
"TITAN","3,046.00","3,067.95","3,029.15","3,028.10","3,055.00","26.90","0.89","946,112","2,884,165,665.28","3,067.95","1,825.05","56.59","7.80"
"AXISBANK","977.10","989.85","976.00","978.20","986.10","7.90","0.81","7,096,350","6,978,124,809.00","989.85","623.50","53.34","7.37"
"NESTLEIND","22,750.00","22,946.25","22,625.00","22,744.10","22,920.10","176.00","0.77","36,862","840,361,445.00","23,175.25","17,051.00","28.66","4.66"
"SBILIFE","1,301.05","1,315.45","1,301.00","1,299.90","1,309.95","10.05","0.77","972,782","1,271,893,009.36","1,340.35","1,051.55","18.83","8.21"
"BRITANNIA","4,990.20","5,032.35","4,955.05","4,992.15","5,025.00","32.85","0.66","196,106","981,685,064.34","5,085.25","3,360.00","40.18","8.40"
"TATACONSUM","850.05","863.55","850.05","854.95","860.20","5.25","0.61","1,394,632","1,196,733,719.20","877.20","686.60","19.64","8.47"
"BAJAJFINSV","1,521.00","1,536.60","1,519.00","1,518.85","1,527.00","8.95","0.59","934,639","1,427,642,379.72","1,844.00","1,072.72","-86.50","5.37"
"HINDUNILVR","2,665.95","2,685.90","2,651.35","2,661.25","2,676.05","14.80","0.56","1,160,181","3,098,042,926.11","2,741.60","2,203.60","17.34","-0.73"
"ITC","450.00","451.95","446.60","449.35","451.50","2.15","0.48","9,106,074","4,100,647,243.68","455.90","268.55","58.82","2.71"
"SBIN","574.00","574.00","570.20","569.80","572.35","2.55","0.45","8,718,232","4,989,356,991.28","629.55","458.00","22.71","-1.70"
"TATASTEEL","111.60","112.20","110.40","111.55","112.00","0.45","0.40","26,741,918","2,985,200,306.34","124.30","83.81","-87.17","5.71"
"ASIANPAINT","3,353.00","3,449.60","3,343.75","3,348.25","3,360.00","11.75","0.35","1,436,363","4,862,361,663.97","3,582.90","2,678.00","21.24","3.74"
"ULTRACEMCO","8,300.00","8,319.00","8,236.70","8,260.65","8,289.00","28.35","0.34","225,746","1,869,556,133.28","8,432.15","5,480.00","45.73","5.76"
"CIPLA","1,009.90","1,021.45","1,005.00","1,009.90","1,012.50","2.60","0.26","1,963,457","1,991,554,069.67","1,185.25","852.00","6.92","5.20"
"HINDALCO","419.85","422.65","414.65","420.20","420.90","0.70","0.17","4,115,005","1,729,618,901.60","504.00","325.30","23.39","3.59"
"KOTAKBANK","1,847.90","1,850.55","1,832.95","1,840.55","1,843.00","2.45","0.13","3,934,720","7,249,170,739.20","2,064.40","1,631.00","10.72","-4.33"
"JSWSTEEL","786.30","789.00","780.00","783.40","783.15","-0.25","-0.03","2,515,440","1,973,262,062.40","791.45","541.00","35.58","13.11"
"NTPC","188.10","191.65","188.00","189.10","189.00","-0.10","-0.05","9,579,059","1,814,177,984.01","191.65","136.10","34.48","8.46"
"BPCL","365.85","368.80","361.25","365.40","365.00","-0.40","-0.11","4,195,830","1,529,338,076.70","380.45","288.05","14.56","0.04"
"ICICIBANK","940.50","942.20","930.65","937.45","934.00","-3.45","-0.37","13,843,218","12,937,456,246.26","958.85","694.10","32.77","-0.16"
"DIVISLAB","3,615.00","3,651.90","3,571.00","3,601.55","3,586.80","-14.75","-0.41","432,628","1,563,681,990.64","3,973.90","2,730.00","-1.48","1.65"
"ADANIENT","2,437.95","2,437.95","2,350.00","2,402.00","2,390.00","-12.00","-0.50","5,125,497","12,254,653,287.24","4,190.00","1,017.45","6.98","-4.18"
"HDFCLIFE","652.00","657.50","638.50","651.95","648.50","-3.45","-0.53","8,681,796","5,616,774,740.16","674.00","457.80","15.16","11.85"
"APOLLOHOSP","5,128.00","5,148.95","5,064.05","5,126.90","5,099.70","-27.20","-0.53","411,015","2,092,921,261.20","5,294.00","3,635.20","36.46","5.90"
"GRASIM","1,745.00","1,757.95","1,730.75","1,743.10","1,733.80","-9.30","-0.53","451,355","786,477,060.40","1,839.50","1,305.30","28.75","1.89"
"ADANIPORTS","752.80","759.90","738.00","756.50","739.90","-16.60","-2.19","6,629,272","4,936,421,102.08","987.85","395.10","9.05","0.98"
