,instrument_token,tradingsymbol,segment
0,256265,NIFTY 50,INDICES
1,6401,ADANIENT,NSE
2,3861249,ADANIPORTS,NSE
3,40193,APOLLOHOSP,NSE
4,60417,ASIANPAINT,NSE
5,1510401,AXISBANK,NSE
6,4267265,BAJAJ-AUTO,NSE
7,4268801,BAJAJFINSV,NSE
8,81153,BAJFINANCE,NSE
9,2714625,BHARTIARTL,NSE
10,134657,BPCL,NSE
11,140033,BRITANNIA,NSE
12,177665,CIPLA,NSE
13,5215745,COALINDIA,NSE
14,2800641,DIVISLAB,NSE
15,225537,DRREDDY,NSE
16,232961,EICHERMOT,NSE
17,315393,GRASIM,NSE
18,1850625,HCLTECH,NSE
19,340481,HDFC,NSE
20,341249,HDFCBANK,NSE
21,119553,HDFCLIFE,NSE
22,345089,HEROMOTOCO,NSE
23,348929,HINDALCO,NSE
24,356865,HINDUNILVR,NSE
25,1270529,ICICIBANK,NSE
26,1346049,INDUSINDBK,NSE
27,408065,INFY,NSE
28,424961,ITC,NSE
29,3001089,JSWSTEEL,NSE
30,492033,KOTAKBANK,NSE
31,2939649,LT,NSE
32,519937,M&M,NSE
33,2815745,MARUTI,NSE
34,4598529,NESTLEIND,NSE
35,2977281,NTPC,NSE
36,633601,ONGC,NSE
37,3834113,POWERGRID,NSE
38,738561,RELIANCE,NSE
39,5582849,SBILIFE,NSE
40,779521,SBIN,NSE
41,857857,SUNPHARMA,NSE
42,878593,TATACONSUM,NSE
43,884737,TATAMOTORS,NSE
44,895745,TATASTEEL,NSE
45,2953217,TCS,NSE
46,3465729,TECHM,NSE
47,897537,TITAN,NSE
48,2952193,ULTRACEMCO,NSE
49,2889473,UPL,NSE
50,969473,WIPRO,NSE
